mode,controller,episodes,success_rate,final_error_mean,final_error_median,path_efficiency_mean,total_command_mean,mean_recent_calibration_error,success_stderr
abrupt_bump,windowed_sysid,600,0.8666666666666667,0.009884716475956233,0.0022170647715934787,0.7798630903288761,4.2653814558899255,0.4528700418341179,0.013877773329774218
random_walk,windowed_sysid,600,0.9616666666666667,0.003995745530655765,0.0017454536923958092,0.7971093819162407,3.908171999374723,0.3829758697877633,0.007838355364157381
severe_random_walk,windowed_sysid,600,0.9483333333333334,0.005310750957352088,0.0019585900168605837,0.7883354522365273,3.984470093027879,0.4639585561812172,0.009036704987828086
static,windowed_sysid,600,0.9666666666666667,0.004321125069604097,0.0016824168049093375,0.7898727841368852,3.868933869447863,0.36976115337639226,0.007328281087929399
