family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
F,event0.55,abrupt_bump,oracle,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0014601368047510695,0.038490261420967994,0.2674908835011725,3.2238978572388284,0.0,1.2970991413474184,7.351883459606921e-06,0.0,3.0,0.06556290400923201,0.7916666666666666,1.0137119409855588
F,event0.55,abrupt_bump,oracle,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0010930097408001068,0.018275578478564893,0.16506131726056067,3.4565617035894434,0.0,1.4330840699797935,9.97297049384691e-06,0.0,3.0,0.07320024440438565,0.8333333333333334,0.6917105064507363
F,event1.0,abrupt_bump,frozen_start_calibration,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.1767766952966369,0.20296920095551887,0.2774138112184553,0.14307965363553332,4.071499773014013,1.1160950558913898,1.0825594060176584,0.00012516289868504186,0.0,3.0,0.176041560094961,4.0,1.1134250093883686
F,event1.0,abrupt_bump,frozen_start_calibration,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.2782372218133897,0.40442090344677695,0.20201766538031485,4.491061710442601,1.437406421464297,1.1102445193418626,0.0002786575935707293,0.0,3.0,0.2871774968698165,7.854166666666667,1.4366338603735518
F,event1.0,abrupt_bump,frozen_start_calibration,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.12419135234829343,0.25846068288365276,0.13890813810049188,4.2945897830844375,1.1258769581603068,1.206575457243971,0.00020370380090034513,0.0,3.0,0.2586951130349118,6.333333333333334,1.1213815001537808
F,event1.0,abrupt_bump,windowed_sysid,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.035720388787448806,0.07861633192130733,0.13247511738525594,4.5527822051582305,0.37527225281507015,2.5523242074108596,0.0006383094540739579,0.071875,3.0,0.060012390318386656,0.8750000000000001,1.1134250093883686
F,event1.0,abrupt_bump,windowed_sysid,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.00480647223006659,0.03261749054812149,0.2285794184808,3.9752686409120637,0.42581210214470244,2.5582534559781553,0.0001745214313566917,0.03125,3.0,0.06319496198941173,0.75,1.4366338603735518
F,event1.0,abrupt_bump,windowed_sysid,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.006595432426083662,0.02621844979409582,0.13989834720364486,4.281046247299177,0.421666464514702,2.534217691715157,0.00017898418312413042,0.040625,3.0,0.05022004475924279,0.625,1.1213815001537808
F,event1.0,abrupt_bump,calibration_state,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.03804939252711046,0.07687923303021159,0.1454755377411878,4.276434439571223,0.4240605420748853,1.7763321257639688,0.0006217907890709427,0.0796875,3.0,0.050015929541809036,0.9791666666666667,1.1134250093883686
F,event1.0,abrupt_bump,calibration_state,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0016751050401572578,0.027568265729757204,0.25500122202680364,3.6406310224413323,0.3994494462643712,1.6916420887176615,0.00015531015840149865,0.0140625,3.0,0.06739949115241067,0.8333333333333334,1.4366338603735518
F,event1.0,abrupt_bump,calibration_state,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0012117778201531403,0.026835154695996722,0.15726263862292172,3.9117942237009578,0.446138585115861,1.605814629195466,9.63112642122613e-05,0.0234375,3.0,0.07336992675515183,0.9583333333333334,1.1213815001537808
F,event1.0,abrupt_bump,oracle,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.03321793867176175,0.07252437569901313,0.15340229299249247,4.006598988277961,0.0,1.8441048414747994,7.807745522191828e-05,0.0609375,3.0,0.06367458497643201,0.7916666666666667,1.1134250093883686
