mode,controller,rows,episodes,success,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift,success_stderr
abrupt_bump,calibration_state,4,48,0.9791666666666666,0.00499537800250782,0.049007677471376326,0.21343393206962144,3.5158198663998745,0.39305812641942195,1.759138098641371,8.221061198248125e-05,0.018489583333333337,3.0,0.043602641713494386,0.5694444444444444,0.9540381162365633,0.019946398078257047
abrupt_bump,frozen_start_calibration,4,48,0.6458333333333333,0.12136811997771807,0.20727790725592693,0.18540705578422034,3.941554333480966,0.9518417307554011,1.1634826102293314,0.0001585702746690975,0.0,3.0,0.12209635800735152,2.496527777777778,0.9540381162365633,0.13764176277554768
abrupt_bump,nominal_offline,4,48,0.6041666666666666,0.14490213023729626,0.23589071923839355,0.1891430410239737,3.874932835742557,0.9885271083111312,1.0,0.00011921139818169654,0.0,3.0,0.15902919730935086,3.361111111111111,0.9540381162365633,0.1397054637279107
abrupt_bump,oracle,4,48,1.0,0.0017153151863586204,0.0541831482924576,0.22386444862976,3.3520290219432614,0.0,1.7843073614103155,5.311192576721868e-06,0.017708333333333333,3.0,0.04956957042002418,0.548611111111111,0.9540381162365633,0.0
abrupt_bump,residual_bias,4,48,0.5416666666666667,0.10120151863589363,0.1763200199446162,0.18533921063517647,4.265594237660514,0.9885271083111312,1.0,0.0005791280306624325,0.0,3.0,0.1652024285015238,3.2604166666666665,0.9540381162365633,0.1433281639678671
abrupt_bump,robust_low_gain,4,48,0.10416666666666666,0.33448149576199615,0.43738326140707445,0.3247163193591435,2.1807406283295054,0.9885271083111312,1.0,3.211656828383046e-06,0.0,3.0,0.5028187500878024,16.895833333333332,0.9540381162365633,0.07114279615651409
abrupt_bump,windowed_sysid,4,48,1.0,0.004146341376297487,0.05175869655520465,0.1870646098476916,3.924528927605241,0.4386609806897876,3.4628178830631136,0.00016723426720845303,0.0328125,3.0,0.04192664175096678,0.4930555555555555,0.9540381162365633,0.0
random_walk,calibration_state,4,48,1.0,0.00145842883609165,0.031100246746401362,0.1751544372536927,3.2897198363088513,0.14027346068701776,1.222727565556557,5.318336214913699e-06,0.0,0.0,0.0,nan,0.23550341280748896,0.0
random_walk,frozen_start_calibration,4,48,0.9791666666666666,0.0023770431340681183,0.03792026825876332,0.17378664871631186,3.3150267999464607,0.2238749559285855,1.1869457671174815,1.6406954684380383e-05,0.0,0.0,0.0,nan,0.23550341280748896,0.019946398078257047
random_walk,nominal_offline,4,48,0.9583333333333333,0.010351642048566683,0.06438494591939084,0.17035891805787948,3.380829149389362,0.3833083330671539,1.0,3.157986302724823e-05,0.0,0.0,0.0,nan,0.23550341280748896,0.039892796156514095
random_walk,oracle,4,48,1.0,0.0014719052311751547,0.030619571059120478,0.1764062490583468,3.2665810619499704,0.0,1.2148447808880443,3.271436586024481e-06,0.0,0.0,0.0,nan,0.23550341280748896,0.0
random_walk,residual_bias,4,48,0.9166666666666666,0.013252570557503882,0.08452702209929686,0.1745776678216938,3.322637529947537,0.3833083330671539,1.0,2.6356869827499067e-05,0.0,0.0,0.0,nan,0.23550341280748896,0.06678851383851005
random_walk,robust_low_gain,4,48,0.375,0.1799825793170023,0.29724298139220573,0.27302557820265816,2.104068822328148,0.3833083330671539,1.0,2.146540301362625e-06,0.0,0.0,0.0,nan,0.23550341280748896,0.13693477285592212
random_walk,windowed_sysid,4,48,1.0,0.0022663908579270953,0.03050753740759577,0.15304741925298004,3.7448396205368146,0.3991264595647627,2.6576913787281837,8.394251193302874e-05,0.011197916666666665,0.0,0.0,nan,0.23550341280748896,0.0
scale_only,calibration_state,4,48,1.0,0.0016858298861390697,0.03884455616066279,0.1949502333625012,3.4487758958471995,0.14925332802962257,1.2715750280351856,5.312967167507619e-06,0.0005208333333333333,0.0,0.0,nan,0.23185561238038316,0.0
scale_only,frozen_start_calibration,4,48,1.0,0.0018937811371959063,0.048742084208909166,0.19512605325019952,3.442444380583833,0.21892743090852432,1.1756339477703155,7.019723035262943e-06,0.0,0.0,0.0,nan,0.23185561238038316,0.0
scale_only,nominal_offline,4,48,0.9583333333333333,0.006350843485957396,0.0734420719749358,0.19420298072048225,3.452414723391196,0.3397207621418363,1.0,1.7042625854653635e-05,0.0,0.0,0.0,nan,0.23185561238038316,0.039892796156514095
scale_only,oracle,4,48,1.0,0.0016393281688881981,0.03945056955026265,0.1956670730182681,3.4383434568577376,0.0,1.3087236335487002,4.088058648971168e-06,0.0015624999999999999,0.0,0.0,nan,0.23185561238038316,0.0
scale_only,residual_bias,4,48,0.8124999999999999,0.024386110170133278,0.11389193346039253,0.19543815026247344,3.4779264074708607,0.3397207621418363,1.0,1.4889094512611514e-05,0.0,0.0,0.0,nan,0.23185561238038316,0.10516348702850267
