setting,mode,controller,rows,episodes,success,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift,success_stderr
frozen,abrupt_bump,frozen_start_calibration,3,30,0.7333333333333334,0.08644907084772262,0.1568697541608968,0.14336401747336516,4.044264647571841,1.0740918233744579,1.1898874538626527,0.00018653417251505075,0.0,3.0,0.1657030764356053,3.5,1.0702817627756114,0.13596718222058898
frozen,severe_random_walk,frozen_start_calibration,3,30,0.9333333333333332,0.012169693815932803,0.048441465179327035,0.1702681768208696,3.5811779371802834,0.48818115659606187,1.2735847469380026,9.449337913819594e-05,0.0,0.0,0.0,nan,0.5220846216715186,0.042163702135578386
frozen,sinusoidal,frozen_start_calibration,3,30,1.0,0.0015874505867739476,0.02378391723685518,0.1883964492028147,3.1700309604932326,0.19750281830921082,1.1597033027895947,3.0196078170790526e-05,0.0,0.0,0.0,nan,0.39604213865170035,0.0
matrix_not_policy,abrupt_bump,matrix_no_policy,3,30,0.6999999999999998,0.059714133387884026,0.15994991066175826,0.1434851726769322,4.001619765695344,0.1994352632345876,1.7304132559282557,0.00015737023469816657,0.0,3.0,0.19717230573711933,4.55,1.0702817627756114,0.14491376746189438
matrix_not_policy,severe_random_walk,matrix_no_policy,3,30,0.9,0.013873767596857078,0.06848879894326067,0.16540410923217258,3.6058466804789653,0.22472705737936127,1.4258515001141496,6.98749008374048e-05,0.0,0.0,0.0,nan,0.5220846216715186,0.07378647873726218
matrix_not_policy,sinusoidal,matrix_no_policy,3,30,1.0,0.0017064446456561409,0.03786390565879832,0.18681089947917817,3.20075465890397,0.37796498133453255,1.4535970837494219,3.2935569631913086e-05,0.0,0.0,0.0,nan,0.39604213865170035,0.0
oracle,abrupt_bump,oracle,3,30,1.0,0.001418095602425658,0.030504208280448992,0.18045666692071324,3.2624968746740364,0.0,1.709547958976237,3.907277249533909e-06,0.011666666666666665,3.0,0.05478638624698722,0.6111111111111112,1.0702817627756114,0.0
oracle,severe_random_walk,oracle,3,30,1.0,0.001379191921271186,0.028441896831052388,0.18147127453868586,3.372495578970659,0.0,1.4261969049625651,7.66861768329451e-06,0.0075,0.0,0.0,nan,0.5220846216715186,0.0
oracle,sinusoidal,oracle,3,30,1.0,0.001419103207190997,0.030948159365169897,0.1983908042045758,3.024091468864242,0.0,1.1805131127927877,4.521263329235408e-06,0.0,0.0,0.0,nan,0.39604213865170035,0.0
rls_f0.84,abrupt_bump,calibration_state,3,30,1.0,0.0014271725599957694,0.034426539642708955,0.1738303758125572,3.3796034849485523,0.2963000674486511,1.8850338247242373,5.158685389897169e-05,0.016666666666666666,3.0,0.054547398591356065,0.7888888888888889,1.0702817627756114,0.0
rls_f0.84,severe_random_walk,calibration_state,3,30,1.0,0.001556725907088736,0.028804241959894148,0.17807231118267555,3.4305515746054094,0.28715658162396557,1.5694653150583522,1.835901293722072e-05,0.0075,0.0,0.0,nan,0.5220846216715186,0.0
rls_f0.84,sinusoidal,calibration_state,3,30,1.0,0.0017435996604403907,0.026868071356718634,0.19191631667226963,3.1251308773669675,0.4164936794782251,1.8920321865234637,6.523458611094696e-05,0.0025000000000000005,0.0,0.0,nan,0.39604213865170035,0.0
rls_f0.9,abrupt_bump,calibration_state,3,30,1.0,0.0014691985556987048,0.02935986626463666,0.1740886633175732,3.379248621534689,0.40578120904085263,1.871624920429962,4.3993062862384633e-05,0.017916666666666664,3.0,0.050914038437932095,0.6222222222222222,1.0702817627756114,0.0
rls_f0.9,severe_random_walk,calibration_state,3,30,1.0,0.0016736280409877463,0.029251949403843402,0.17756655814655212,3.4378842699113754,0.28775296708869386,1.5224262298564284,2.0264231672092264e-05,0.007916666666666667,0.0,0.0,nan,0.5220846216715186,0.0
rls_f0.9,sinusoidal,calibration_state,3,30,1.0,0.0017240650865943178,0.025544951093615792,0.19178395906936407,3.1205731133976804,0.44161987763836885,1.6040794109946213,3.507350743393356e-05,0.0008333333333333334,0.0,0.0,nan,0.39604213865170035,0.0
rls_f0.925,abrupt_bump,calibration_state,3,30,1.0,0.0014730614457772312,0.027919672358123492,0.17272001724231523,3.4036464705757363,0.4420061780628999,1.8103322970153968,4.971224023406765e-05,0.015,3.0,0.05143564150369978,0.6333333333333333,1.0702817627756114,0.0
rls_f0.925,severe_random_walk,calibration_state,3,30,1.0,0.0015927926873339395,0.02919953012799706,0.17722189764196972,3.443799785356122,0.29122112975041514,1.497814982200001,2.1181110937826914e-05,0.007083333333333333,0.0,0.0,nan,0.5220846216715186,0.0
rls_f0.925,sinusoidal,calibration_state,3,30,1.0,0.0017410898613309772,0.024718289586405918,0.1912238505732106,3.1280237041176964,0.41514457387675013,1.5402943303367433,3.41735253625516e-05,0.0008333333333333334,0.0,0.0,nan,0.39604213865170035,0.0
