setting,mode,controller,rows,episodes,success,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift,success_stderr
exc0.35_d0.008_g10,abrupt_bump,calibration_state,2,16,0.75,0.03161366355530624,0.14654657263826443,0.19917723024719586,2.255292593524156,0.19171415312428042,1.5094227358084025,1.5098668140886335e-05,0.0,3.0,0.20694736198056018,7.354166666666667,1.0680580913927988,0.15309310892394862
exc0.35_d0.008_g10,abrupt_bump,frozen_start_calibration,2,16,0.5,0.13086697987889012,0.19047868923123706,0.19943819489786258,2.1338807122155297,1.0738889399206606,1.1481450400303,9.592995916143088e-06,0.0,3.0,0.21428835411985617,8.677083333333332,1.0680580913927988,0.1767766952966369
exc0.35_d0.008_g10,abrupt_bump,oracle,2,16,0.75,0.03238354354593097,0.14297141246389544,0.21418772305147932,2.1580338372171863,0.0,1.614395814227751,9.944734680260955e-06,0.0,3.0,0.1990489214726921,6.760416666666667,1.0680580913927988,0.15309310892394862
exc0.35_d0.008_g10,abrupt_bump,windowed_sysid,2,16,0.75,0.030451393987555243,0.13395854743288244,0.17319429084239263,2.5795853179500177,0.3928880213472562,1.534759577546755,2.3825629022763872e-05,0.003125,3.0,0.20582171806413163,6.875,1.0680580913927988,0.15309310892394862
exc0.35_d0.008_g10,random_walk,calibration_state,2,16,0.625,0.03203336063418598,0.13941505710680108,0.2070898473715554,2.1391776254980264,0.08977399347526377,1.2051925990004482,8.636616043699902e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.16493490211029277
exc0.35_d0.008_g10,random_walk,frozen_start_calibration,2,16,0.625,0.03543683499379664,0.14184982381959635,0.20977026521284342,2.110408011422293,0.2656438940466719,1.1924476977582152,7.92175898611997e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.16493490211029277
exc0.35_d0.008_g10,random_walk,oracle,2,16,0.625,0.03167450782236619,0.13854088685253485,0.20705565163783374,2.150072995841766,0.0,1.2302201315845929,9.118642347554833e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.16493490211029277
exc0.35_d0.008_g10,random_walk,windowed_sysid,2,16,0.8125,0.02627610486426875,0.13143336878835232,0.17830264486223896,2.4958672346254267,0.2573476997561993,1.2894743633699943,1.8587292284284683e-05,0.0015625,0.0,0.0,nan,0.27974986334294155,0.13500995113031714
exc0.35_d0.008_g20,abrupt_bump,calibration_state,2,16,1.0,0.009943657797179851,0.01135804237736529,0.20432050082976996,1.926728775303701,0.20922356127757186,1.504907226202762,1.0730515981222523e-05,0.0,3.0,0.06158165717779384,1.8645833333333335,1.0680580913927988,0.0
exc0.35_d0.008_g20,abrupt_bump,frozen_start_calibration,2,16,0.9375,0.032343596859519465,0.049460036727046755,0.19961390211116567,1.9110064770270712,1.0738889399206606,1.1481450400303,8.217751877484626e-06,0.0,3.0,0.08727386283482855,3.489583333333333,1.0680580913927988,0.05846339666834283
exc0.35_d0.008_g20,abrupt_bump,oracle,2,16,1.0,0.009454887238258266,0.012200416509638368,0.22495273245017233,1.812623807926133,0.0,1.614395814227751,6.39948193328034e-06,0.0,3.0,0.07081333445122212,2.0208333333333335,1.0680580913927988,0.0
exc0.35_d0.008_g20,abrupt_bump,windowed_sysid,2,16,1.0,0.014053826781573409,0.013697433194733806,0.1704176110802666,2.2974326597154686,0.4100583476173152,1.4998869553596341,1.950097151584785e-05,0.003125,3.0,0.04838049775750422,1.2916666666666667,1.0680580913927988,0.0
exc0.35_d0.008_g20,random_walk,calibration_state,2,16,1.0,0.007172439440518591,0.024654015932151753,0.22112911465598473,1.758276180962066,0.09285931799676687,1.209091776974775,4.200805854337852e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g20,random_walk,frozen_start_calibration,2,16,1.0,0.007832371235879699,0.03034028329989005,0.22425416396326722,1.7316732886497836,0.2656438940466719,1.1924476977582152,3.839510753102186e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g20,random_walk,oracle,2,16,1.0,0.007269477967413169,0.02433387291676904,0.223522497295243,1.7509835492842136,0.0,1.2302201315845929,4.244586112811521e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g20,random_walk,windowed_sysid,2,16,1.0,0.011577921950718866,0.018375368032106303,0.18071376893099222,2.161201876619384,0.28689798265596383,1.3065809442737835,1.2710059018361713e-05,0.0015625,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g40,abrupt_bump,calibration_state,2,16,1.0,0.010396403326029986,0.01117451477264147,0.242316211316499,1.716734518165943,0.26667035099389413,1.5464776524588295,9.128233555885174e-06,0.0,3.0,0.06787811664757702,1.7291666666666665,1.0680580913927988,0.0
exc0.35_d0.008_g40,abrupt_bump,frozen_start_calibration,2,16,0.875,0.03422502499094265,0.0360510406604146,0.227129096997266,1.755836700213929,1.0738889399206606,1.1481450400303,7.330856690150117e-06,0.0,3.0,0.08599035732480122,2.875,1.0680580913927988,0.07654655446197431
exc0.35_d0.008_g40,abrupt_bump,oracle,2,16,1.0,0.00945488723825827,0.009755376937918605,0.2718037593412209,1.6058716033467197,0.0,1.614395814227751,5.662169145722718e-06,0.0,3.0,0.059971223234091556,1.4375,1.0680580913927988,0.0
exc0.35_d0.008_g40,abrupt_bump,windowed_sysid,2,16,1.0,0.015904528465814326,0.013805607557079958,0.19497053588233718,2.140762017095361,0.44558206240747783,1.5664426467287331,1.7515952300317227e-05,0.003125,3.0,0.05294065768409672,1.25,1.0680580913927988,0.0
exc0.35_d0.008_g40,random_walk,calibration_state,2,16,1.0,0.007233698575171477,0.010208654575042605,0.26977902945656046,1.489782618044031,0.10292387267814287,1.1910853693404233,2.528451106821506e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g40,random_walk,frozen_start_calibration,2,16,1.0,0.007828091286190029,0.0102038149510872,0.2730885358569488,1.470021189659977,0.2656438940466719,1.1924476977582152,2.366109855889573e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g40,random_walk,oracle,2,16,1.0,0.007269477967413082,0.010316212441658375,0.27269514110945714,1.4857405228357292,0.0,1.2302201315845929,2.6507637310457533e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.008_g40,random_walk,windowed_sysid,2,16,1.0,0.010960637325953784,0.0134558497467649,0.2048396305934459,1.97838207587996,0.3128566144136874,1.2717360406484346,9.980485213695744e-06,0.0015625,0.0,0.0,nan,0.27974986334294155,0.0
exc0.35_d0.0_g10,abrupt_bump,calibration_state,2,16,0.6875,0.03073435813988646,0.14174583386174824,0.224238718063988,2.0276865081206195,0.2225083190715204,1.534264807906115,7.003409992736505e-06,0.0,3.0,0.2186101654787713,8.135416666666668,1.0680580913927988,0.1621282040721565
exc0.35_d0.0_g10,abrupt_bump,frozen_start_calibration,2,16,0.5625,0.11480603408973475,0.17888624271875014,0.2250867088485659,1.9238270610559909,1.0738889399206606,1.1481450400303,4.355763165359431e-06,0.0,3.0,0.22260427561332485,9.375,1.0680580913927988,0.17396999725850065
exc0.35_d0.0_g10,abrupt_bump,oracle,2,16,0.75,0.03398285061286901,0.1411890070562684,0.24130811501850868,1.9141734351810653,0.0,1.614395814227751,3.1811136846812864e-06,0.0,3.0,0.20560712362113087,7.052083333333334,1.0680580913927988,0.15309310892394862
exc0.35_d0.0_g10,abrupt_bump,windowed_sysid,2,16,0.75,0.027969227679311134,0.12240918484451518,0.19585005399971173,2.30194182858006,0.4878425990983482,2.380053663135802,2.0405476005290355e-05,0.0023437500000000003,3.0,0.19722325594855758,5.895833333333334,1.0680580913927988,0.14404504627852505
exc0.35_d0.0_g10,random_walk,calibration_state,2,16,0.75,0.026188426356686785,0.1410689816600436,0.22991673893640224,1.9219571938326698,0.10627160842118852,1.2231598776708594,3.2152484636903127e-06,0.0,0.0,0.0,nan,0.27974986334294155,0.14404504627852505
