setting,mode,controller,rows,episodes,success,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift,success_stderr
obs0.0012_act0.004_delay0,abrupt_bump,calibration_state,2,16,1.0,0.005436611429471674,0.04191501824165151,0.14407166824603065,3.850512261858463,0.3980577204877054,1.9210065578999314,8.265373346667372e-05,0.0062499999999999995,3.0,0.07043135953041982,1.0625,0.9444968559416909,0.0
obs0.0012_act0.004_delay0,abrupt_bump,frozen_start_calibration,2,16,0.625,0.08641710323894618,0.17174467057020254,0.1276254665497598,4.271918880344863,0.9442537306290535,1.1825506048989969,0.00019515528839091577,0.0,3.0,0.15800780448643462,3.375,0.9444968559416909,0.16493490211029277
obs0.0012_act0.004_delay0,abrupt_bump,oracle,2,16,1.0,0.005541745312468012,0.041405256964961286,0.15150714412960548,3.702219912204776,0.0,1.7412853923933336,2.698501669967566e-05,0.01171875,3.0,0.07640337398180766,1.0416666666666667,0.9444968559416909,0.0
obs0.0012_act0.004_delay0,abrupt_bump,windowed_sysid,2,16,1.0,0.006406524405101461,0.037990808614798366,0.13382830350419098,4.089496145702752,0.44275144758001084,2.0907809257003205,0.00012025652056490015,0.02109375,3.0,0.06549900818961274,1.0,0.9444968559416909,0.0
obs0.0012_act0.004_delay0,severe_random_walk,calibration_state,2,16,1.0,0.0062356640402361045,0.02248150483440067,0.16586109984973918,3.521812659691225,0.2316899396911999,1.4966378998252368,1.6415063679163106e-05,0.0,0.0,0.0,nan,0.5102305850645709,0.0
obs0.0012_act0.004_delay0,severe_random_walk,frozen_start_calibration,2,16,1.0,0.006567935207910203,0.03913860593731941,0.16089098424931303,3.6374885738617873,0.49070633161608523,1.423606918996653,4.983673974493533e-05,0.0,0.0,0.0,nan,0.5102305850645709,0.0
obs0.0012_act0.004_delay0,severe_random_walk,oracle,2,16,1.0,0.005940729156021218,0.023860557649546914,0.16845824389440667,3.4631754780522215,0.0,1.44255535766236,1.2151414034785195e-05,0.0,0.0,0.0,nan,0.5102305850645709,0.0
obs0.0012_act0.004_delay0,severe_random_walk,windowed_sysid,2,16,1.0,0.007258205621338174,0.018233536072877993,0.15206046859099703,3.812215045225016,0.45859721767717154,2.001795978816213,5.0897864862536104e-05,0.020312500000000004,0.0,0.0,nan,0.5102305850645709,0.0
obs0.0012_act0.004_delay2,abrupt_bump,calibration_state,2,16,1.0,0.003992257698938457,0.04534244619001187,0.13835749280870774,3.981963996869578,0.3427930752071112,1.8066335353684464,0.00017449036320725384,0.0125,3.0,0.07214795567970764,1.1041666666666665,0.9444968559416909,0.0
obs0.0012_act0.004_delay2,abrupt_bump,frozen_start_calibration,2,16,0.625,0.08343534885092906,0.1706026790206155,0.1269691881190167,4.273959500105816,0.9442537306290535,1.1825506048989969,0.0001992373809934958,0.0,3.0,0.15751712737980278,3.333333333333333,0.9444968559416909,0.16493490211029277
