family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
B,rls_f0.84,abrupt_bump,calibration_state,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.84,14,1.0,0.45,,1.0,0.0,0.0013916083300367934,0.033087867468662366,0.18009225266133155,3.261684278431166,0.3068897602767371,1.7375295439966632,3.9814449522337304e-05,0.008749999999999999,3.0,0.04348070369911978,0.5333333333333333,1.2125581590543302
B,rls_f0.84,abrupt_bump,calibration_state,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.84,14,1.0,0.45,,1.0,0.0,0.0012151917733078065,0.020250708832021475,0.20385205425580716,3.8380694485831297,0.24900708709605063,2.090045057699652,9.019304021503293e-05,0.0375,3.0,0.07948266953707969,1.3,0.8952739928730798
B,rls_f0.84,abrupt_bump,calibration_state,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.84,14,1.0,0.45,,1.0,0.0,0.0016747175766427085,0.04994104262744302,0.13754682052053283,3.0390567278313623,0.33300335497316563,1.8275268724763962,2.475307195954482e-05,0.0037500000000000007,3.0,0.04067882253786873,0.5333333333333333,1.103013136399424
B,rls_f0.9,abrupt_bump,calibration_state,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.9,14,1.0,0.45,,1.0,0.0,0.0013901868838837588,0.020134373021216262,0.17858396706572136,3.2886526842717956,0.374365493710832,1.8461960451821178,5.119166903056633e-05,0.012499999999999999,3.0,0.043733956108921945,0.5666666666666667,1.2125581590543302
B,rls_f0.9,abrupt_bump,calibration_state,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.9,14,1.0,0.45,,1.0,0.0,0.001375216814781421,0.02025271890879013,0.2035134121780698,3.8411027161512847,0.41123347860205584,1.997474907054724,5.6104079971261604e-05,0.041249999999999995,3.0,0.0731140881353652,0.9,0.8952739928730798
B,rls_f0.9,abrupt_bump,calibration_state,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.9,14,1.0,0.45,,1.0,0.0,0.0016421919684309345,0.0476925068639036,0.14016861070892833,3.007990464180986,0.4317446548096703,1.7712038090530442,2.4683439585325965e-05,0.0,3.0,0.035894071069509134,0.4,1.103013136399424
B,rls_f0.925,abrupt_bump,calibration_state,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0013641373194028012,0.017925868884220438,0.17661802990612907,3.3296640152337913,0.44622233915989895,1.7461800729154908,5.720093734859951e-05,0.008749999999999999,3.0,0.04455079895664112,0.5666666666666667,1.2125581590543302
B,rls_f0.925,abrupt_bump,calibration_state,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0014037655109026387,0.020635387391027944,0.20203771547528807,3.8600615557788927,0.4254260425100248,1.9397204593223012,6.273876578241175e-05,0.03625,3.0,0.07482705646908713,0.9666666666666666,0.8952739928730798
B,rls_f0.925,abrupt_bump,calibration_state,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0016512815070262531,0.04519776079912209,0.13950430634552854,3.0212138407145255,0.45437015251877594,1.7450963588083983,2.91970175711917e-05,0.0,3.0,0.03492906908537109,0.36666666666666664,1.103013136399424
B,rls_f0.97,abrupt_bump,calibration_state,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.97,14,1.0,0.45,,1.0,0.0,0.001362340613072843,0.009189692360724217,0.16793162466467587,3.506892626794117,0.552138734759264,1.5920043288912724,0.00011208261658207612,0.008749999999999999,3.0,0.04990711384895262,0.5666666666666667,1.2125581590543302
B,rls_f0.97,abrupt_bump,calibration_state,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.97,14,1.0,0.45,,1.0,0.0,0.0012078036849209293,0.026895950202589565,0.19529526075160036,3.9792554937484304,0.4509208631988435,1.683832126153057,0.00011170892203819124,0.02375,3.0,0.08990251396154562,1.2,0.8952739928730798
B,rls_f0.97,abrupt_bump,calibration_state,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.97,14,1.0,0.45,,1.0,0.0,0.0016897546853640005,0.039566586170294175,0.13300509121050144,3.1418813093640745,0.5485717449835265,1.5541903793097502,7.004815568336032e-05,0.0,3.0,0.033984400016884006,0.36666666666666664,1.103013136399424
B,rls_f1.0,abrupt_bump,csc_no_forgetting,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,1.0,14,1.0,0.45,,1.0,0.0,0.0014929472274888,0.008545809281357888,0.1555626579605074,3.7850076932534558,0.720907859456801,1.4108933049716268,0.00017703937359813651,0.0,3.0,0.06824442559675946,0.9666666666666668,1.2125581590543302
B,rls_f1.0,abrupt_bump,csc_no_forgetting,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,1.0,14,1.0,0.45,,1.0,0.0,0.0010770128703269373,0.04646139416040585,0.188437895953044,4.132272442844932,0.5730725836674279,1.4696658138038063,0.0002105544772742623,0.01,3.0,0.11835178676567264,2.1333333333333333,0.8952739928730798
B,rls_f1.0,abrupt_bump,csc_no_forgetting,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,1.0,14,1.0,0.45,,1.0,0.0,0.0017680375928566885,0.03691835440363829,0.12431409314827642,3.31644558421691,0.7392665533080467,1.3707424664311483,0.00011428714538883124,0.0,3.0,0.0410874363045389,0.36666666666666664,1.103013136399424
B,window_6,abrupt_bump,windowed_sysid,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,6,1.0,0.45,,1.0,0.0,0.042422014837831167,0.03080257975658829,0.13034258610144198,4.366608152450146,0.6254510921333057,10.631906425186884,0.0002008441779876133,0.017499999999999998,3.0,0.04487669734845215,0.4666666666666666,1.2125581590543302
B,window_6,abrupt_bump,windowed_sysid,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,6,1.0,0.45,,1.0,0.0,0.015141647905072147,0.03285653919578851,0.15153670490279728,4.945126463036383,0.6006406907619273,91.94221650073648,0.00037570157148660927,0.05375,3.0,0.09059065633150212,1.3666666666666667,0.8952739928730798
B,window_6,abrupt_bump,windowed_sysid,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,6,1.0,0.45,,1.0,0.0,0.015979746742519473,0.04975851602519295,0.09772330294664174,4.168096940619671,0.688749087766606,22.979714757442757,0.0001809428943192858,0.02125,3.0,0.0357663637377311,0.36666666666666664,1.103013136399424
B,window_10,abrupt_bump,windowed_sysid,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,10,1.0,0.45,,1.0,0.0,0.008935063638127582,0.01829402308265904,0.14712142094130046,3.9026214544486018,0.5524922709207539,8.294295570880122,0.00015420594894692362,0.025,3.0,0.04722456592839448,0.5333333333333333,1.2125581590543302
B,window_10,abrupt_bump,windowed_sysid,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,10,1.0,0.45,,1.0,0.0,0.016403150191268936,0.026141687081728752,0.1707365817436128,4.498381262699115,0.44754518831411316,7.737566304835672,0.00021500219702398588,0.052500000000000005,3.0,0.07193266961828534,0.8333333333333333,0.8952739928730798
B,window_10,abrupt_bump,windowed_sysid,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,10,1.0,0.45,,1.0,0.0,0.026374954868793793,0.0486048200005393,0.11068759738065519,3.717394109178745,0.6801500783204216,6.599115302914074,6.96159045467235e-05,0.013750000000000002,3.0,0.03869624561255374,0.39999999999999997,1.103013136399424
B,window_14,abrupt_bump,windowed_sysid,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0013799861301098174,0.026594926358390465,0.15383516428619068,3.7285620162692603,0.4621988102551614,2.798818450601472,8.596957168471412e-05,0.02125,3.0,0.041552526440880776,0.5999999999999999,1.2125581590543302
B,window_14,abrupt_bump,windowed_sysid,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0035327136969883197,0.028708680223438997,0.18061630512619414,4.2589931074062175,0.44244629854193257,2.9130838773114442,0.00015479311219176875,0.05375,3.0,0.06983674915582229,1.0666666666666667,0.8952739928730798
B,window_14,abrupt_bump,windowed_sysid,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.006656872467517764,0.047035946172887984,0.11891427009572472,3.465717307868009,0.5915317809804502,2.716532367412379,8.203429055317132e-05,0.01125,3.0,0.029397646898468084,0.36666666666666664,1.103013136399424
B,window_22,abrupt_bump,windowed_sysid,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,22,1.0,0.45,,1.0,0.0,0.007989411928404012,0.018751579681550397,0.16436341785735842,3.5505341887185544,0.5902197689912504,2.2551857148853856,7.819053593774612e-05,0.01125,3.0,0.03920823787552353,0.4666666666666666,1.2125581590543302
B,window_22,abrupt_bump,windowed_sysid,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,22,1.0,0.45,,1.0,0.0,0.0011702707819122031,0.02198966271342106,0.19186509417323624,4.041054147685829,0.32579550854161626,1.8767376549716093,0.00011913706655912484,0.05500000000000001,3.0,0.08576607410482294,1.1666666666666667,0.8952739928730798
B,window_22,abrupt_bump,windowed_sysid,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,22,1.0,0.45,,1.0,0.0,0.0026805432661180448,0.04799196810402509,0.13016349355448498,3.229153807670529,0.4589738037756401,2.171131103510244,5.289323790538425e-05,0.0075,3.0,0.03152083347025168,0.36666666666666664,1.103013136399424
B,window_32,abrupt_bump,windowed_sysid,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,32,1.0,0.45,,1.0,0.0,0.0014493171015463018,0.012597206274415709,0.165284967549098,3.5531196355372785,0.4906265791206329,1.7824835827312924,0.00011697726255078088,0.012499999999999999,3.0,0.04572906956625704,0.5,1.2125581590543302
B,window_32,abrupt_bump,windowed_sysid,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,32,1.0,0.45,,1.0,0.0,0.0019785226346414535,0.02213322533933158,0.1934342089436696,4.0143478044998755,0.39460797201151493,1.9099095552352594,0.00011352740574618685,0.03749999999999999,3.0,0.07966761480669578,1.0333333333333332,0.8952739928730798
B,window_32,abrupt_bump,windowed_sysid,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,32,1.0,0.45,,1.0,0.0,0.0020197320806244943,0.05195343554749504,0.1325192497206559,3.173591626008483,0.5093865238493156,1.8229008281380872,5.114266431218685e-05,0.005,3.0,0.03106048556056291,0.36666666666666664,1.103013136399424
B,matrix_not_policy,abrupt_bump,matrix_no_policy,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.7,0.14491376746189438,0.05485685184072694,0.15119469358712384,0.1358012939865171,4.24491874110714,0.21190084084336408,1.6458109759560493,0.00019337235848108057,0.0,3.0,0.2458072757436684,5.916666666666666,1.2125581590543302
B,matrix_not_policy,abrupt_bump,matrix_no_policy,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.7,0.14491376746189438,0.06254214537807821,0.16738215939699977,0.18303730024963988,4.067815683822889,0.2019544662590517,1.873654773362373,0.0001260788974416673,0.0,3.0,0.16660565357421606,4.033333333333333,0.8952739928730798
B,matrix_not_policy,abrupt_bump,matrix_no_policy,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.7,0.14491376746189438,0.06174340294484691,0.16127287900115114,0.11161692379463964,3.692124872156002,0.18445048260134697,1.6717740184663448,0.0001526594481717519,0.0,3.0,0.17910398789347362,3.7000000000000006,1.103013136399424
B,scalar_context,abrupt_bump,scalar_context,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.4,0.15491933384829668,0.14363315441490268,0.30139031641484687,0.15610346400652894,3.660326483026745,1.1576258172997318,1.0,5.7866348984653314e-05,0.0,3.0,0.2787170470600501,6.583333333333333,1.2125581590543302
B,scalar_context,abrupt_bump,scalar_context,211000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.7,0.14491376746189438,0.07262794257756369,0.1882001475730499,0.19114264554211383,3.989364775406403,0.9129862878696475,1.0,0.00016894106171161917,0.0,3.0,0.24230463567965882,6.466666666666667,0.8952739928730798
B,scalar_context,abrupt_bump,scalar_context,212000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.15811388300841897,0.135747745918355,0.27737634739400285,0.13014933678912294,3.165456141930385,1.1827955085557216,1.0,3.667423103540428e-05,0.0,3.0,0.27417101456271487,6.7333333333333325,1.103013136399424
B,shuffled_matrix,abrupt_bump,shuffled_state,210000,10,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.7,0.14491376746189438,0.06728175792527913,0.11375604231429301,0.12271769977067064,4.67161633342445,1.144272534116833,1.5142773523923427,0.00047902325804434633,0.00125,3.0,0.1447050722037626,2.6999999999999997,1.2125581590543302
