family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
E,floor0.18_shear0.2_fbNone,ill_conditioned,frozen_start_calibration,270000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,0.875,0.11692679333668567,0.008759151490503408,0.07591224113654688,0.1503685609341095,6.725890119928042,0.2516361830632429,5.323584049071661,0.00016800989488903223,0.38437499999999997,0.0,0.0,nan,0.25851992778874405
E,floor0.18_shear0.2_fbNone,ill_conditioned,frozen_start_calibration,271000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,1.0,0.0,0.0018232308314019934,0.047373652844706016,0.1580307859171693,6.847852941581834,0.17951679864703607,5.126678087843345,4.214164001747554e-05,0.4,0.0,0.0,nan,0.17854818887082358
E,floor0.18_shear0.2_fbNone,ill_conditioned,windowed_sysid,270000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,0.875,0.11692679333668567,0.010786874515048733,0.07104524521637565,0.12755448885120718,6.914875420118357,0.5091500832519464,4.8615378277356776,0.00021117114525898145,0.365625,0.0,0.0,nan,0.25851992778874405
E,floor0.18_shear0.2_fbNone,ill_conditioned,windowed_sysid,271000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,1.0,0.0,0.0064227033539647075,0.05126401742857999,0.1322085875509219,7.113533289861107,0.5849430557515064,4.322826058095173,0.00021080052926423276,0.39375,0.0,0.0,nan,0.17854818887082358
E,floor0.18_shear0.2_fbNone,ill_conditioned,calibration_state,270000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,0.875,0.11692679333668567,0.007741302534640946,0.07098857436708794,0.14842492368278506,6.551889561433062,0.12214127871097828,4.979706765226565,5.4564834846149786e-05,0.33125,0.0,0.0,nan,0.25851992778874405
E,floor0.18_shear0.2_fbNone,ill_conditioned,calibration_state,271000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,1.0,0.0,0.001845956926114559,0.045547289563621925,0.1569449235589925,6.724578631638365,0.13742873910674208,4.4132395467069845,3.534457463777367e-05,0.359375,0.0,0.0,nan,0.17854818887082358
E,floor0.18_shear0.2_fbNone,ill_conditioned,oracle,270000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,0.875,0.11692679333668567,0.007651581436299294,0.07120077961040573,0.15327122415183153,6.47332891753163,0.0,4.937147354921613,3.5124525896745596e-05,0.3578125,0.0,0.0,nan,0.25851992778874405
E,floor0.18_shear0.2_fbNone,ill_conditioned,oracle,271000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,,1.0,0.0,0.0017997276193671553,0.045049358673636894,0.15992145836414573,6.7437108364094485,0.0,4.408676906782985,2.405932926858393e-05,0.396875,0.0,0.0,nan,0.17854818887082358
E,floor0.18_shear0.2_fb10.0,ill_conditioned,frozen_start_calibration,270000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,10.0,0.875,0.11692679333668567,0.008759151490503408,0.07591224113654688,0.1503685609341095,6.725890119928042,0.2516361830632429,5.323584049071661,0.00016800989488903223,0.38437499999999997,0.0,0.0,nan,0.25851992778874405
E,floor0.18_shear0.2_fb10.0,ill_conditioned,frozen_start_calibration,271000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.18,10.0,1.0,0.0,0.0018232308314019934,0.047373652844706016,0.1580307859171693,6.847852941581834,0.17951679864703607,5.126678087843345,4.214164001747554e-05,0.4,0.0,0.0,nan,0.17854818887082358
