family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
D,obs0.0_act0.0_delay0,abrupt_bump,frozen_start_calibration,250000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.75,0.15309310892394862,0.020443818088297375,0.07265827715948509,0.13711859128105627,3.9671248368486127,0.9759119610160997,1.1696714434862576,0.00020760142054955343,0.0,3.0,0.14681096537094374,3.375,0.9737787083375281
D,obs0.0_act0.0_delay0,abrupt_bump,frozen_start_calibration,251000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.1767766952966369,0.1374813680993861,0.262150797528939,0.1374567532641772,4.159145505111148,0.9125955002420073,1.1954297663117361,0.00016872088590609482,0.0,3.0,0.1630892571990741,3.458333333333333,0.9152150035458537
D,obs0.0_act0.0_delay0,abrupt_bump,windowed_sysid,250000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0010189059310504324,0.009421786020930151,0.14353882407798602,3.6860899536358804,0.41857333196839974,157.38969465786155,9.823681918566732e-05,0.014062500000000002,3.0,0.054828748947501234,0.7083333333333333,0.9737787083375281
D,obs0.0_act0.0_delay0,abrupt_bump,windowed_sysid,251000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.003859765324745009,0.06472553153556149,0.15070925082615283,3.8864632351531325,0.4073671368434323,3.047972264730662,0.00036601761139753183,0.040625,3.0,0.07614918058682141,1.375,0.9152150035458537
D,obs0.0_act0.0_delay0,abrupt_bump,calibration_state,250000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0006000655768308745,0.004795819390283142,0.1574307475172883,3.451659751387056,0.44097994317822375,1.9339578937477913,3.17721196701801e-05,0.0,3.0,0.06588216215090979,0.8333333333333333,0.9737787083375281
D,obs0.0_act0.0_delay0,abrupt_bump,calibration_state,251000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,5.86412770576176e-05,0.06861655306113204,0.16148622843184512,3.670082338913362,0.485000820303473,1.8823759764293748,0.00013168966524037206,0.0125,3.0,0.06140729960654217,1.2916666666666665,0.9152150035458537
D,obs0.0_act0.0_delay0,abrupt_bump,oracle,250000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0,0.007209722358206191,0.16521028986813846,3.3126343963429665,0.0,1.7381092379006922,8.25060995591368e-06,0.0,3.0,0.08085824409640077,1.3333333333333335,0.9737787083375281
D,obs0.0_act0.0_delay0,abrupt_bump,oracle,251000,8,0.0,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,1.1231792795391821e-11,0.06500746313683564,0.16783168731156783,3.5495129900349913,0.0,1.744461546885975,2.669010276813072e-05,0.0234375,3.0,0.0649352289121696,0.7916666666666666,0.9152150035458537
D,obs0.0_act0.0_delay2,abrupt_bump,frozen_start_calibration,250000,8,0.0,0.0,2,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.75,0.15309310892394862,0.020443818088297375,0.07265827715948509,0.13711859128105627,3.9671248368486127,0.9759119610160997,1.1696714434862576,0.00020760142054955343,0.0,3.0,0.14681096537094374,3.375,0.9737787083375281
D,obs0.0_act0.0_delay2,abrupt_bump,frozen_start_calibration,251000,8,0.0,0.0,2,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.1767766952966369,0.1374813680993861,0.262150797528939,0.1374567532641772,4.159145505111148,0.9125955002420073,1.1954297663117361,0.00016872088590609482,0.0,3.0,0.1630892571990741,3.458333333333333,0.9152150035458537
D,obs0.0_act0.0_delay2,abrupt_bump,windowed_sysid,250000,8,0.0,0.0,2,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,2.7758865311306845e-05,0.0055023302587248035,0.12689412849960197,4.092843203590426,0.23996840326743754,4.835246041089851,0.0003309800634277905,0.0484375,3.0,0.08226329352672855,1.2916666666666667,0.9737787083375281
D,obs0.0_act0.0_delay2,abrupt_bump,windowed_sysid,251000,8,0.0,0.0,2,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,5.0793258250553476e-05,0.08988951714221004,0.12785775644340347,4.482759834534367,0.17846057405504578,2.285791647239467,0.0006686293519323589,0.06875,3.0,0.11762422815159698,1.875,0.9152150035458537
