family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
C,exc0.35_d0.0_g10,random_walk,frozen_start_calibration,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.75,0.15309310892394862,0.025771923608588123,0.13462985227721186,0.23111872391287375,1.8128250376655868,0.3302742945124263,1.1317074365872473,2.0810126189142563e-06,0.0,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g10,random_walk,frozen_start_calibration,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.625,0.1711632992203644,0.03712168448024044,0.15340003503671862,0.235688634974625,1.966224985692377,0.2010134935809174,1.2531879589291832,4.063286079296024e-06,0.0,0.0,0.0,nan,0.2311627197226668
C,exc0.35_d0.0_g10,random_walk,windowed_sysid,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.015258513887591118,0.1225698542644178,0.1933508826556734,2.173052801195484,0.4312033596313321,1.800805035217669,1.5156009890943362e-05,0.0015625,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g10,random_walk,windowed_sysid,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.018496846174873093,0.13592077639075398,0.20145478276099257,2.3095127531915476,0.3269243696656335,2.0615470639152846,2.1312464709669975e-05,0.003125,0.0,0.0,nan,0.2311627197226668
C,exc0.35_d0.0_g10,random_walk,calibration_state,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.01833434277720538,0.1321925157928608,0.22306665758137506,1.8814293026503375,0.12756825833796967,1.1652550030161888,2.178554477833111e-06,0.0,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g10,random_walk,calibration_state,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.625,0.1711632992203644,0.03404250993616819,0.14994544752722644,0.2367668202914294,1.9624850850150022,0.08497495850440737,1.28106475232553,4.2519424495475145e-06,0.0,0.0,0.0,nan,0.2311627197226668
C,exc0.35_d0.0_g10,random_walk,oracle,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.875,0.11692679333668567,0.016489727549527804,0.12964979039509245,0.22513641560453657,1.86526571412259,0.0,1.1823846543893857,2.527002261003789e-06,0.0,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g10,random_walk,oracle,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,0.75,0.15309310892394862,0.03201749010512808,0.1478468053460371,0.2354203296035089,1.9746736902191342,0.0,1.2780556087798,4.31706907263981e-06,0.0,0.0,0.0,nan,0.2311627197226668
C,exc0.35_d0.0_g20,random_walk,frozen_start_calibration,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0017912672606047357,0.02732252538829623,0.295403112722311,1.2461575074958098,0.3302742945124263,1.1317074365872473,2.134585130134757e-07,0.0,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g20,random_walk,frozen_start_calibration,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0013979655618191523,0.022306698714740888,0.31270407767653435,1.2861033523066527,0.2010134935809174,1.2531879589291832,3.011075633686218e-07,0.0,0.0,0.0,nan,0.2311627197226668
C,exc0.35_d0.0_g20,random_walk,windowed_sysid,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.007224327920773776,0.0107409765688287,0.21079014775546973,1.744368858863775,0.4624130192449933,2.7579830034280866,1.6270918800921927e-05,0.0078125,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g20,random_walk,windowed_sysid,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.017201036422888664,0.010900707248604249,0.22478848509858484,1.7948304153432342,0.4554667692670432,3.836605694255895,2.334993140611356e-05,0.009375,0.0,0.0,nan,0.2311627197226668
C,exc0.35_d0.0_g20,random_walk,calibration_state,230000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0018813402146536803,0.019014681899315232,0.29291517808957246,1.2547905880959864,0.21962238723225555,1.2163270384001443,7.772501552290821e-08,0.0,0.0,0.0,nan,0.3283370069632163
C,exc0.35_d0.0_g20,random_walk,calibration_state,231000,8,0.0012,0.0,0,0.0,0.0,0.35,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.001379417685248493,0.01787408072885819,0.316983211907766,1.2686470495081683,0.12052419424051912,1.2465989138247378,2.7204750771256823e-07,0.0,0.0,0.0,nan,0.2311627197226668
